2026-02-04 01:43:04,910 | INFO | sfda_app | Initializing SFDA Chatbot...
2026-02-04 01:43:04,911 | INFO | sfda_app | Loading embedding model...
2026-02-04 01:43:37,152 | INFO | sfda_app | Initializing LLM...
2026-02-04 01:43:38,384 | INFO | sfda_app | Loading vector store...
2026-02-04 01:43:38,889 | INFO | sfda_app | Vector store loaded. Document count: 5496
2026-02-04 01:43:38,889 | INFO | sfda_app | ✅ Chatbot initialized successfully
2026-02-04 01:50:45,781 | INFO | sfda_app | Initializing SFDA Chatbot...
2026-02-04 01:50:45,781 | INFO | sfda_app | Loading embedding model...
2026-02-04 01:51:03,907 | INFO | sfda_app | Initializing LLM...
2026-02-04 01:51:04,560 | INFO | sfda_app | Loading vector store...
2026-02-04 01:51:04,774 | INFO | sfda_app | Vector store loaded. Document count: 5496
2026-02-04 01:51:04,774 | INFO | sfda_app | ✅ Chatbot initialized successfully
2026-02-04 01:57:22,786 | INFO | sfda_app | Initializing SFDA Chatbot...
2026-02-04 01:57:22,786 | INFO | sfda_app | Loading embedding model...
2026-02-04 01:57:42,043 | INFO | sfda_app | Initializing LLM...
2026-02-04 01:57:42,661 | INFO | sfda_app | Loading vector store...
2026-02-04 01:57:42,872 | INFO | sfda_app | Vector store loaded. Document count: 5496
2026-02-04 01:57:42,872 | INFO | sfda_app | ✅ Chatbot initialized successfully
2026-02-04 02:17:06,599 | INFO | sfda_app | Initializing SFDA Chatbot...
2026-02-04 02:17:06,599 | INFO | sfda_app | Loading embedding model...
2026-02-04 02:17:22,062 | INFO | sfda_app | Initializing LLM...
2026-02-04 02:17:22,789 | INFO | sfda_app | Loading vector store...
2026-02-04 02:17:23,027 | INFO | sfda_app | Vector store loaded. Document count: 5496
2026-02-04 02:17:23,027 | INFO | sfda_app | ✅ Chatbot initialized successfully
2026-02-04 02:24:21,661 | INFO | sfda_app | Initializing SFDA Chatbot...
2026-02-04 02:24:21,661 | INFO | sfda_app | Loading embedding model...
2026-02-04 02:24:39,784 | INFO | sfda_app | Initializing LLM...
2026-02-04 02:24:40,447 | INFO | sfda_app | Loading vector store...
2026-02-04 02:24:40,660 | INFO | sfda_app | Vector store loaded. Document count: 5496
2026-02-04 02:24:40,660 | INFO | sfda_app | ✅ Chatbot initialized successfully
2026-02-04 02:32:20,424 | INFO | sfda_app | Initializing SFDA Chatbot...
2026-02-04 02:32:20,424 | INFO | sfda_app | Loading embedding model...
2026-02-04 02:32:37,062 | INFO | sfda_app | Initializing LLM...
2026-02-04 02:32:37,773 | INFO | sfda_app | Loading vector store...
2026-02-04 02:32:37,984 | INFO | sfda_app | Vector store loaded. Document count: 5496
2026-02-04 02:32:37,984 | INFO | sfda_app | ✅ Chatbot initialized successfully
2026-02-04 02:44:51,518 | INFO | sfda_app | Initializing SFDA Chatbot...
2026-02-04 02:44:51,518 | INFO | sfda_app | Loading embedding model...
2026-02-04 02:45:12,020 | INFO | sfda_app | Initializing LLM...
2026-02-04 02:45:12,938 | INFO | sfda_app | Loading vector store...
2026-02-04 02:45:13,303 | INFO | sfda_app | Vector store loaded. Document count: 5496
2026-02-04 02:45:13,303 | INFO | sfda_app | ✅ Chatbot initialized successfully
